"","volgarch_verdadeira","volgarch_garch","volgarch_sv","volgarch_gas","volsv_verdadeira","volsv_garch","volsv_sv","volsv_gas","volgas_verdadeira","volgas_garch","volgas_sv","volgas_gas"
"1",0.0098392413644137,0.0350539818490759,0.0349316453402415,0.00138836199340402,-0.00860098533248726,0.0247084612651839,0.0246760457913434,0.000634811420873328,0.0215152854496975,0.0388662120767001,0.0396174870155705,0.00154627741950752
"2",0.0113975200968343,0.022309631784389,0.0213823141180643,0.00103426698053785,-0.0443233722126546,0.0191975718002419,0.0188673215893144,0.000426893448914704,-0.0831704115187613,0.0487907784996207,0.0474508059362295,0.00237012247840357
"3",-0.0294798387874054,0.0250766041590258,0.0272442735193252,0.000683334797650411,0.0101291292023378,0.0290317777061838,0.029092377585627,0.000912796230632854,0.0352391945395389,0.035073078039234,0.034523918065426,0.00123780579508116
"4",-0.0757024005899239,0.0399099705232053,0.0371931584755158,0.00231148997137971,0.00286878581932822,0.0201149629130697,0.0199528871362015,0.000453961505376541,-0.0339340604151582,0.0326676022748726,0.0337974989090202,0.00125625353050927
"5",0.029737581818529,0.0189389944434398,0.018793798421804,0.000362007649773101,0.024359293093081,0.0323751510423744,0.0313405788323786,0.00105584266827234,0.0224122160781973,0.0312330276489653,0.0315960988893825,0.0010261637554255
"6",-0.00954006897380015,0.0217056131178447,0.0220463736449021,0.000455142758177678,0.00560308315925499,0.0320206256176312,0.0302193936106993,0.000742323971540023,0.0357430243624359,0.0481680045061084,0.0488460431017017,0.00234579404686904
"7",-0.00626045766752091,0.0239024404540854,0.0228059926790121,0.000702101197439936,-0.0106171429038179,0.0231928797658924,0.0233970151446197,0.000558444999003178,0.00126573342549601,0.0388928440704971,0.0395841054665034,0.00152389746611175
"8",0.05674535426406,0.034538702158575,0.0350754094917855,0.00116752749884038,-0.000978355118562818,0.0252020183318341,0.0252608403917707,0.000647280315945865,0.00720704841293013,0.0291765910750994,0.0278238557388808,0.000863753170040798
"9",0.0105532380902376,0.022945835834181,0.0224312443191602,0.000617755697908211,-0.0230843329265236,0.02861787391096,0.0277988148831817,0.000854922834037633,0.102147453923395,0.0624705779043636,0.0587282703580026,0.00358459165624897
"10",-0.0316379872146395,0.0263680891241048,0.0267129148851711,0.000820404440815151,-0.0493318226992518,0.021246871081077,0.0213417222657107,0.000450831951829585,-0.01394228396003,0.0302929930693856,0.0308289178610573,0.000908874874758613
